doc_a_id,doc_a_title,doc_b_id,doc_b_title,distance
0,Pricing Strategy Analysis,94,Pricing Strategy Analysis,2.3841858e-07
0,Pricing Strategy Analysis,102,Pricing Strategy Analysis,2.3841858e-07
0,Pricing Strategy Analysis,123,Pricing Strategy Analysis,2.3841858e-07
0,Pricing Strategy Analysis,238,Pricing Strategy Analysis,2.3841858e-07
1,Sales Pipeline Analysis,44,Sales Pipeline Analysis,0.0
1,Sales Pipeline Analysis,59,Sales Pipeline Analysis,0.0
1,Sales Pipeline Analysis,109,Sales Pipeline Analysis,0.0
1,Sales Pipeline Analysis,164,Sales Pipeline Analysis,0.0
2,Customer Segmentation Analysis,5,Customer Segmentation Analysis,0.0
2,Customer Segmentation Analysis,28,Customer Segmentation Analysis,0.0
2,Customer Segmentation Analysis,74,Customer Segmentation Analysis,0.0
2,Customer Segmentation Analysis,93,Customer Segmentation Analysis,0.0
3,Campaign Performance Analysis,229,Campaign Performance Analysis,0.0
3,Campaign Performance Analysis,263,Campaign Performance Analysis,0.0
3,Campaign Performance Analysis,271,Campaign Performance Analysis,0.0
3,Campaign Performance Analysis,99,Campaign Performance Analysis,0.26020324
4,Product Adoption Analysis,24,Product Adoption Analysis,0.0
4,Product Adoption Analysis,115,Product Adoption Analysis,0.0
4,Product Adoption Analysis,124,Product Adoption Analysis,0.0
4,Product Adoption Analysis,144,Product Adoption Analysis,0.0
5,Customer Segmentation Analysis,28,Customer Segmentation Analysis,0.0
5,Customer Segmentation Analysis,74,Customer Segmentation Analysis,0.0
5,Customer Segmentation Analysis,93,Customer Segmentation Analysis,0.0
6,Customer Churn Analysis,132,Customer Churn Analysis,3.5762787e-07
6,Customer Churn Analysis,140,Customer Churn Analysis,0.09538877
6,Customer Churn Analysis,207,Customer Churn Analysis,0.09538877
6,Customer Churn Analysis,230,Customer Churn Analysis,0.09538877
7,Customer Segmentation Analysis,45,Customer Segmentation Analysis,0.0
7,Customer Segmentation Analysis,71,Customer Segmentation Analysis,0.0
7,Customer Segmentation Analysis,89,Customer Segmentation Analysis,0.106092334
7,Customer Segmentation Analysis,171,Customer Segmentation Analysis,0.106092334
8,Pricing Strategy Analysis,15,Pricing Strategy Analysis,1.1920929e-07
8,Pricing Strategy Analysis,35,Pricing Strategy Analysis,1.1920929e-07
8,Pricing Strategy Analysis,126,Pricing Strategy Analysis,1.1920929e-07
8,Pricing Strategy Analysis,143,Pricing Strategy Analysis,1.1920929e-07
9,User Retention Analysis,22,User Retention Analysis,1.1920929e-07
9,User Retention Analysis,157,User Retention Analysis,1.1920929e-07
9,User Retention Analysis,133,User Retention Analysis,0.13798153
9,User Retention Analysis,249,User Retention Analysis,0.13798153
10,Campaign Performance Analysis,180,Campaign Performance Analysis,3.5762787e-07
10,Campaign Performance Analysis,216,Campaign Performance Analysis,3.5762787e-07
