doc_id,title,department,author,creation_hours,document_text,created_date,views,creation_cost,duplicate_flag
4,Product Adoption Analysis,Marketing,Stephanie Dunlap,12,"
    This report analyzes product adoption trends across the Marketing department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-11-06,66,720,True
5,Customer Segmentation Analysis,Customer Success,Javier Ross,10,"
    This report analyzes customer segmentation trends across the Customer Success department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-10-14,1,600,True
10,Campaign Performance Analysis,Marketing,Ryan Montgomery,10,"
    This report analyzes campaign performance trends across the Marketing department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-09-14,65,600,True
13,User Retention Analysis,Product,Patricia Phillips,4,"
    This report analyzes user retention trends across the Product department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-07-12,236,240,True
15,Pricing Strategy Analysis,Finance,Kathleen Smith,12,"
    This report analyzes pricing strategy trends across the Finance department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-08-04,3,720,True
18,Pricing Strategy Analysis,Product,Michael Crosby,10,"
    This report analyzes pricing strategy trends across the Product department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-03-02,31,600,True
19,Product Adoption Analysis,Sales,Andrew Warren,12,"
    This report analyzes product adoption trends across the Sales department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-06-17,6,720,True
22,User Retention Analysis,Customer Success,Jamie Rodriguez,8,"
    This report analyzes user retention trends across the Customer Success department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-07-25,48,480,True
24,Product Adoption Analysis,Marketing,Jake Arnold,6,"
    This report analyzes product adoption trends across the Marketing department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-04-12,38,360,True
25,Customer Segmentation Analysis,Sales,Jennifer Johnson,6,"
    This report analyzes customer segmentation trends across the Sales department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-11-11,11,360,True
26,Market Expansion Analysis,Sales,Catherine Doyle,12,"
    This report analyzes market expansion trends across the Sales department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-10-14,161,720,True
28,Customer Segmentation Analysis,Customer Success,Samuel Hernandez,8,"
    This report analyzes customer segmentation trends across the Customer Success department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-05-21,55,480,True
30,Product Adoption Analysis,Strategy,Nicholas Douglas,10,"
    This report analyzes product adoption trends across the Strategy department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-06-07,47,600,True
31,User Retention Analysis,Product,Brian Long,4,"
    This report analyzes user retention trends across the Product department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-03-05,27,240,True
34,Campaign Performance Analysis,Product,Cindy Bond,8,"
    This report analyzes campaign performance trends across the Product department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-09-03,80,480,True
35,Pricing Strategy Analysis,Finance,Dawn Anderson,6,"
    This report analyzes pricing strategy trends across the Finance department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-12-27,7,360,True
36,User Retention Analysis,Product,Zachary Smith,10,"
    This report analyzes user retention trends across the Product department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-11-02,7,600,True
38,Customer Churn Analysis,Strategy,Robert Lee,8,"
    This report analyzes customer churn trends across the Strategy department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-05-28,28,480,True
40,Customer Segmentation Analysis,Sales,Deborah Lawson,6,"
    This report analyzes customer segmentation trends across the Sales department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-10-11,40,360,True
42,Customer Segmentation Analysis,Product,David Cantu,6,"
    This report analyzes customer segmentation trends across the Product department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-08-12,7,360,True
43,User Retention Analysis,Operations,Curtis Leonard,12,"
    This report analyzes user retention trends across the Operations department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-06-10,5,720,True
44,Sales Pipeline Analysis,Strategy,Ashley Olson,6,"
    This report analyzes sales pipeline trends across the Strategy department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-05-08,58,360,True
45,Customer Segmentation Analysis,Strategy,James Miller,4,"
    This report analyzes customer segmentation trends across the Strategy department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-11-26,12,240,True
46,Customer Churn Analysis,Strategy,Jason Harris,4,"
    This report analyzes customer churn trends across the Strategy department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2025-05-09,119,240,True
49,Pricing Strategy Analysis,Operations,Katherine Soto,12,"
    This report analyzes pricing strategy trends across the Operations department.
    The analysis focuses on key drivers, historical performance,
    and projected outcomes for the next quarter.
    ",2024-04-26,124,720,True
